,CO2_net,CO2_nonbio,CO2_bio,Life_carbonation,EOL_carbonation,CH4,N2O,MN,Net,Low_Error,High_Error
EST_T2_Static_200_SSP2,721454.1407828613,788855.8680699976,1.1641532182693481e-10,0.0,-67401.7272871365,25095.613637180024,3893.0948906794433,28988.708527859468,750442.8493107208,21127.895311319502,15013.914755612612
EST_T3_Static_200_SSP2,891232.3465228608,958634.0738099972,1.1641532182693481e-10,0.0,-67401.7272871365,32367.11064025214,5294.709218700327,37661.81985895247,928894.1663818132,21127.895311319502,15013.914755612612
EST_T4_Static_200_SSP2,169965.1438040944,982317.4188370655,-744950.5477458346,0.0,-67401.7272871365,980337.9472975126,5376.620491027701,985714.5677885403,1155679.7115926344,21127.89531131927,15013.914755612612
EST_T5_Static_200_SSP2,327231.2237760974,1139583.4988090685,-744950.5477458346,0.0,-67401.7272871365,33030.37973445182,5376.620491027701,38407.00022547952,365638.2240015769,21127.895311319502,15013.914755612612
EST_T6_Static_200_SSP2,199779.15385186893,1012131.42888484,-744950.5477458346,0.0,-67401.7272871365,-13348.76352572694,3168.1766793758857,-10180.586846351054,189598.5670055179,21127.895311319502,15013.914755612612
EST_T7_Static_200_SSP2,234325.3724288043,979632.0981646503,-677904.9984487095,0.0,-67401.7272871365,480739.5789570582,5651.011573035676,486390.5905300939,720715.9629588982,21127.895311319502,15013.914755612612
BAU_C1_Static_20_SSP3,1166714.750309741,1452651.6185388272,-19659.199637990896,-39621.44556611796,-226656.22302497728,295284.4321214034,6764.971673562434,302049.4037949658,1468764.154104707,0.0,0.0
BAU_C2_Static_20_SSP3,1307975.7887564336,1467448.3962987273,-19659.199637990896,-39621.44556611796,-100191.96233818469,297474.09767749533,6904.299615238416,304378.3972927338,1612354.1860491673,0.0,0.0
BAU_C3_Static_20_SSP3,1196803.351495928,1455803.3321987272,-19659.199637990896,-39621.44556611796,-199719.33549869046,295750.830886201,6794.648524964927,302545.4794111659,1499348.8309070938,0.0,0.0
LC3_C1_Static_20_SSP3,1083355.1780258894,1260714.7445388266,-19659.199637990896,-37041.34799871507,-120659.01887623122,296362.99014818494,6306.665360098091,302669.655508283,1386024.8335341725,0.0,0.0
LC3_C2_Static_20_SSP3,1164188.2024447322,1275511.5222987267,-19659.199637990896,-37041.34799871507,-54622.77221728868,298552.65570427687,6445.993301774072,304998.64900605095,1469186.851450783,0.0,0.0
LC3_C3_Static_20_SSP3,1100572.6122241442,1263866.4581987266,-19659.199637990896,-37041.34799871507,-106593.2983378765,296829.38891298254,6336.342211500583,303165.7311244831,1403738.3433486272,0.0,0.0
EST_T1_Static_20_SSP3,12066.531635706895,845546.7019800015,-744950.5477458382,0.0,-88529.62259845645,124886.84122737526,9737.744154565542,134624.5853819408,146691.1170176476,0.0,0.0
EST_T2_Static_20_SSP3,700326.2454715453,788855.8680700015,2.3283064365386963e-10,0.0,-88529.62259845645,123426.19223202426,4506.664521197354,127932.85675322161,828259.1022247669,0.0,0.0
EST_T3_Static_20_SSP3,870104.4512115456,958634.0738100018,2.3283064365386963e-10,0.0,-88529.62259845645,159189.14267791813,6129.179703043121,165318.32238096127,1035422.7735925068,0.0,0.0
EST_T4_Static_20_SSP3,148837.24849277572,982317.4188370703,-744950.5477458382,0.0,-88529.62259845645,4821535.017427349,6224.000567997554,4827759.017995347,4976596.266488124,0.0,0.0
EST_T5_Static_20_SSP3,306103.3284647794,1139583.498809074,-744950.5477458382,0.0,-88529.62259845645,162451.2577194473,6224.000567997554,168675.25828744486,474778.58675222436,0.0,0.0
EST_T6_Static_20_SSP3,178651.25854055025,1012131.4288848449,-744950.5477458382,0.0,-88529.62259845645,-65652.39156157747,3667.4958712183593,-61984.89569035912,116666.36285019119,0.0,0.0
EST_T7_Static_20_SSP3,213197.47711748583,979632.098164655,-677904.9984487128,0.0,-88529.62259845645,2364391.504577044,6541.636944439044,2370933.141521483,2584130.618638969,0.0,0.0
BAU_C1_Static_100_SSP3,1166714.750309741,1452651.6185388272,-19659.199637990896,-39621.44556611796,-226656.22302497728,101683.3458952522,6887.033484201368,108570.37937945357,1275285.1296891947,0.0,0.0
BAU_C2_Static_100_SSP3,1307975.7887564336,1467448.3962987273,-19659.199637990896,-39621.44556611796,-100191.9623381847,102437.37318526347,7028.875349313279,109466.24853457675,1417442.0372910104,0.0,0.0
BAU_C3_Static_100_SSP3,1196803.3514959277,1455803.3321987272,-19659.199637990896,-39621.44556611796,-199719.3354986905,101843.9537084895,6917.2458012925645,108761.19950978206,1305564.55100571,0.0,0.0
LC3_C1_Static_100_SSP3,1083355.1780258894,1260714.7445388266,-19659.199637990896,-37041.34799871508,-120659.01887623123,102054.7552110682,6420.457853266364,108475.21306433456,1191830.3910902238,0.0,0.0
LC3_C2_Static_100_SSP3,1164188.2024447322,1275511.5222987267,-19659.199637990896,-37041.34799871508,-54622.77221728867,102808.78250107946,6562.2997183782745,109371.08221945773,1273559.2846641897,0.0,0.0
LC3_C3_Static_100_SSP3,1100572.6122241442,1263866.4581987266,-19659.199637990896,-37041.34799871508,-106593.2983378765,102215.3630243055,6450.67017035756,108666.03319466306,1209238.6454188072,0.0,0.0
EST_T1_Static_100_SSP3,12066.531635707128,845546.7019800018,-744950.5477458382,0.0,-88529.62259845645,43005.69380869901,9913.44432603707,52919.13813473608,64985.66977044323,0.0,0.0
EST_T2_Static_100_SSP3,700326.2454715455,788855.8680700017,2.3283064365386963e-10,0.0,-88529.62259845645,42502.7086836154,4587.9792196090775,47090.687903224476,747416.93337477,0.0,0.0
EST_T3_Static_100_SSP3,870104.4512115457,958634.073810002,2.3283064365386963e-10,0.0,-88529.62259845645,54817.94126902133,6239.769785069418,61057.711054090745,931162.1622656365,0.0,0.0
EST_T4_Static_100_SSP3,148837.24849277583,982317.4188370705,-744950.5477458382,0.0,-88529.62259845645,1660330.7170679641,6336.301522887948,1666667.0185908522,1815504.2670836276,0.0,0.0
EST_T5_Static_100_SSP3,306103.3284647794,1139583.498809074,-744950.5477458382,0.0,-88529.62259845645,55941.27435412464,6336.301522887948,62277.57587701258,368380.9043417921,0.0,0.0
EST_T6_Static_100_SSP3,178651.25854055048,1012131.4288848451,-744950.5477458382,0.0,-88529.62259845645,-22607.879433554917,3733.6692726978035,-18874.210160857114,159777.0483796933,0.0,0.0
EST_T7_Static_100_SSP3,213197.47711748595,979632.0981646552,-677904.9984487128,0.0,-88529.62259845645,814195.4435744084,6659.669079459099,820855.1126538676,1034052.5897713534,0.0,0.0
BAU_C1_Static_200_SSP3,1166714.7503097348,1452651.6185388197,-19659.1996379908,-39621.44556611777,-226656.22302497615,60038.66673341442,5843.93991033968,65882.6066437541,1232597.356953489,0.0,0.0
BAU_C2_Static_200_SSP3,1307975.788756427,1467448.3962987198,-19659.1996379908,-39621.44556611777,-100191.96233818421,60483.880182817644,5964.298746751035,66448.17892956868,1374423.9676859954,0.0,0.0
BAU_C3_Static_200_SSP3,1196803.3514959218,1455803.33219872,-19659.1996379908,-39621.44556611777,-199719.3354986895,60133.49719841181,5869.576342344563,66003.07354075638,1262806.425036678,0.0,0.0
LC3_C1_Static_200_SSP3,1083355.1780258836,1260714.74453882,-19659.1996379908,-37041.3479987149,-120659.01887623062,60257.964396543386,5448.030705445032,65705.99510198842,1149061.173127872,0.0,0.0
LC3_C2_Static_200_SSP3,1164188.202444726,1275511.5222987202,-19659.1996379908,-37041.3479987149,-54622.77221728841,60703.17784594661,5568.389541856387,66271.56738780299,1230459.769832529,0.0,0.0
LC3_C3_Static_200_SSP3,1100572.6122241383,1263866.4581987204,-19659.1996379908,-37041.3479987149,-106593.29833787598,60352.79486154076,5473.667137449916,65826.46199899068,1166399.074223129,0.0,0.0
EST_T1_Static_200_SSP3,12066.53163570688,845546.7019799975,-744950.5477458346,0.0,-88529.622598456,25392.599894180934,8411.977824524338,33804.57771870527,45871.10935441218,0.0,0.0
EST_T2_Static_200_SSP3,700326.2454715418,788855.8680699976,1.1641532182693481e-10,0.0,-88529.622598456,25095.613637180024,3893.0948906794433,28988.708527859468,729314.9539994013,0.0,0.0
EST_T3_Static_200_SSP3,870104.4512115413,958634.0738099972,1.1641532182693481e-10,0.0,-88529.622598456,32367.11064025214,5294.709218700327,37661.81985895247,907766.2710704937,0.0,0.0
EST_T4_Static_200_SSP3,148837.2484927749,982317.4188370655,-744950.5477458346,0.0,-88529.622598456,980337.9472975126,5376.620491027701,985714.5677885403,1134551.8162813152,0.0,0.0
EST_T5_Static_200_SSP3,306103.3284647779,1139583.4988090685,-744950.5477458346,0.0,-88529.622598456,33030.37973445182,5376.620491027701,38407.00022547952,344510.3286902574,0.0,0.0
EST_T6_Static_200_SSP3,178651.25854054943,1012131.42888484,-744950.5477458346,0.0,-88529.622598456,-13348.76352572694,3168.1766793758857,-10180.586846351054,168470.6716941984,0.0,0.0
EST_T7_Static_200_SSP3,213197.47711748478,979632.0981646503,-677904.9984487095,0.0,-88529.622598456,480739.5789570582,5651.011573035676,486390.5905300939,699588.0676475787,0.0,0.0
BAU_C1_Dynamic_20_SSP1,1344295.0316418973,1403725.2016169904,-8110.573074360892,-19137.905003731008,-32181.691897001467,243852.96352806233,6455.585285993327,250308.54881405566,1594603.5804559528,0.0,0.0
BAU_C2_Dynamic_20_SSP1,1365805.353485029,1407276.487489907,-8110.573074360892,-19137.905003731008,-14222.65592678629,244378.49202365143,6489.024549527979,250867.5165731794,1616672.8700582085,0.0,0.0
BAU_C3_Dynamic_20_SSP1,1348876.7301937714,1404481.6255072088,-8110.573074360892,-19137.905003731008,-28356.41723534563,243964.90109794456,6462.707849084329,250427.6089470289,1599304.3391408,0.0,0.0
LC3_C1_Dynamic_20_SSP1,1168654.2287477183,1211788.3276169898,-8110.573074360892,-17891.669248326223,-17131.856546584535,244931.52155484387,5997.278972528983,250928.80052737286,1419583.029275091,0.0,0.0
LC3_C2_Dynamic_20_SSP1,1181583.2923222538,1215339.6134899065,-8110.573074360892,-17891.669248326223,-7754.078844965579,245457.05005043297,6030.718236063635,251487.7682864966,1433071.0606087504,0.0,0.0
LC3_C3_Dynamic_20_SSP1,1171408.1192883814,1212544.7515072082,-8110.573074360892,-17891.669248326223,-15134.389896139683,245043.4591247261,6004.401535619985,251047.86066034608,1422455.9799487274,0.0,0.0
EST_T1_Dynamic_20_SSP1,757740.7033738027,1062413.9847019687,-292103.81085415796,0.0,-12569.470474008078,147921.45915255955,6680.78465979885,154602.24381235839,912342.9471861613,0.0,0.0
EST_T2_Dynamic_20_SSP1,697263.8513517453,863845.6596991156,-154012.33787336215,0.0,-12569.470474008078,147559.41201256737,5397.875552001961,152957.28756456933,850221.1389163147,0.0,0.0
EST_T3_Dynamic_20_SSP1,743675.6995027651,910257.5078501353,-154012.33787336215,0.0,-12569.470474008078,157321.83877477873,5841.674134811348,163163.5129095901,906839.2124123551,0.0,0.0
EST_T4_Dynamic_20_SSP1,610994.3079975917,915667.5893257577,-292103.81085415796,0.0,-12569.470474008078,1080064.4294916024,5869.383542820643,1085933.813034423,1696928.1210320147,0.0,0.0
EST_T5_Dynamic_20_SSP1,642112.8708546361,946786.1521828021,-292103.81085415796,0.0,-12569.470474008078,158161.93876686812,5869.383542820643,164031.32230968875,806144.1931643249,0.0,0.0
EST_T6_Dynamic_20_SSP1,616893.6675152789,921566.948843445,-292103.81085415796,0.0,-12569.470474008078,113026.60030522133,5363.522697842406,118390.12300306374,735283.7905183428,0.0,0.0
EST_T7_Dynamic_20_SSP1,654113.5539601251,946358.6027200195,-279675.5782858863,0.0,-12569.470474008078,593341.8381043017,5952.353071026635,599294.1911753283,1253407.7451354535,0.0,0.0
BAU_C1_Dynamic_100_SSP1,1305765.905464279,1427782.99884522,-15040.166892087718,-27820.503160266904,-79156.42332858627,91055.2249761329,6715.45027059076,97770.67524672367,1403536.580711003,0.0,0.0
BAU_C2_Dynamic_100_SSP1,1358671.3970119732,1436516.9719776958,-15040.166892087718,-27820.503160266904,-34984.904913367995,91500.29850489946,6799.17410959514,98299.4726144946,1456970.8696264678,0.0,0.0
BAU_C3_Dynamic_100_SSP1,1317034.7751621595,1429643.3351206589,-15040.166892087718,-27820.503160266904,-69747.88990614477,91150.02563802557,6733.283448193838,97883.30908621941,1414918.0842483789,0.0,0.0
LC3_C1_Dynamic_100_SSP1,1152658.367510488,1235846.1248452195,-15040.166892087718,-26008.86778194738,-42138.72266069628,91426.6342919489,6248.874639655755,97675.50893160465,1250333.8764420927,0.0,0.0
LC3_C2_Dynamic_100_SSP1,1184457.6185534454,1244580.0979776953,-15040.166892087718,-26008.86778194738,-19073.44475021462,91871.70782071546,6332.598478660136,98204.30629937559,1282661.924852821,0.0,0.0
LC3_C3_Dynamic_100_SSP1,1159431.6079808595,1237706.4611206583,-15040.166892087718,-26008.86778194738,-37225.81846576366,91521.43495384157,6266.707817258834,97788.1427711004,1257219.7507519599,0.0,0.0
